date,site,replicate,concentration
6/20/2018,s4,c,0.0242
6/20/2018,s5,a,0.0207
6/20/2018,s5,b,0.0207
6/20/2018,s5,c,0.0268
6/20/2018,s6,a,0.0224
6/20/2018,s6,b,0.0216
6/20/2018,s6,c,0.0338
6/20/2018,s7,a,0.0329
6/20/2018,s7,b,0.065
6/20/2018,s7,c,0.0381
6/20/2018,s8,a,0.0372
6/20/2018,s8,b,0.0399
6/20/2018,s8,c,0.0329
6/20/2018,s9,a,0.0346
6/20/2018,s9,b,0.0355
6/20/2018,s9,c,0.1105
6/20/2018,s10,a,0.0311
6/20/2018,s10,b,0.0294
6/20/2018,s10,c,0.0294
6/20/2018,s11,a,0.0372
6/20/2018,s11,b,0.0294
6/20/2018,s11,c,0.025
6/20/2018,s12,a,0.032
6/20/2018,s12,b,0.0346
6/20/2018,s12,c,0.0268
6/20/2018,s13,a,0.0294
6/20/2018,s13,b,0.032
6/20/2018,s13,c,0.0346
7/3/2018,s1,a,0.0311
7/3/2018,s1,b,0.0294
7/3/2018,s1,c,0.0364
7/3/2018,s2,a,0.0128
7/3/2018,s2,b,0.012
7/3/2018,s2,c,0.0128
7/3/2018,s3,a,0.0294
7/3/2018,s3,b,0.0303
7/3/2018,s3,c,0.0355
7/3/2018,s4,a,0.0277
7/3/2018,s4,b,0.0277
7/3/2018,s4,c,0.0311
7/3/2018,s5,a,0.0338
7/3/2018,s5,b,0.0311
7/3/2018,s5,c,0.0303
7/3/2018,s6,a,0.0614
7/3/2018,s6,b,0.0355
7/3/2018,s6,c,0.0364
7/3/2018,s7,a,0.0673
7/3/2018,s7,b,0.0685
7/3/2018,s7,c,0.0697
7/3/2018,s8,a,0.0685
7/3/2018,s8,b,0.0638
7/3/2018,s8,c,0.0626
7/3/2018,s9,a,0.0346
7/3/2018,s9,b,0.0407
7/3/2018,s9,c,0.039
7/3/2018,s10,a,0.0579
7/3/2018,s10,b,0.0416
7/3/2018,s10,c,0.0399
7/3/2018,s11,a,0.0407
7/3/2018,s11,b,0.0579
7/3/2018,s11,c,0.0399
7/3/2018,s12,a,0.0346
7/3/2018,s12,b,0.0346
7/3/2018,s12,c,0.0372
7/3/2018,s13,a,0.0233
7/3/2018,s13,b,0.0294
7/3/2018,s13,c,0.0277
7/18/2018,s1,a,0.022
7/18/2018,s1,b,0.031
7/18/2018,s1,c,0.028
7/18/2018,s2,a,0.023
7/18/2018,s2,b,0.026
7/18/2018,s2,c,0.025
7/18/2018,s3,a,0.017
7/18/2018,s3,b,0.019
7/18/2018,s3,c,0.018
7/18/2018,s4,a,0.012
7/18/2018,s4,b,0.012
7/18/2018,s4,c,0.013
7/18/2018,s5,a,0.054
7/18/2018,s5,b,0.024
7/18/2018,s5,c,0.026
7/18/2018,s6,a,0.053
7/18/2018,s6,b,0.054
7/18/2018,s6,c,0.054
7/18/2018,s7,a,0.029
7/18/2018,s7,b,0.031
7/18/2018,s7,c,0.031
7/18/2018,s8,a,0.019
7/18/2018,s8,b,0.018
7/18/2018,s8,c,0.013
7/18/2018,s9,a,0.008
7/18/2018,s9,b,0.008
7/18/2018,s9,c,0.008
7/18/2018,s10,a,0.01
7/18/2018,s10,b,0.011
7/18/2018,s10,c,0.01
7/18/2018,s11,a,0.007
7/18/2018,s11,b,0.007
7/18/2018,s11,c,0.007
7/18/2018,s12,a,0.009
7/18/2018,s12,b,0.009
7/18/2018,s12,c,0.009
7/18/2018,s13,a,0.005
7/18/2018,s13,b,0.006
7/18/2018,s13,c,0.006
8/2/2018,s1,a,0.034
8/2/2018,s1,b,0.032
8/2/2018,s1,c,0.034
8/2/2018,s2,a,0.02
8/2/2018,s2,b,0.02
8/2/2018,s2,c,0.02
8/2/2018,s3,a,0.012
8/2/2018,s3,b,0.012
8/2/2018,s3,c,0.011
8/2/2018,s4,a,0.011
8/2/2018,s4,b,0.01
8/2/2018,s4,c,0.01
8/2/2018,s5,a,0.029
8/2/2018,s5,b,0.029
8/2/2018,s5,c,0.03
8/2/2018,s6,a,0.055
8/2/2018,s6,b,0.059
8/2/2018,s6,c,0.056
8/2/2018,s7,a,0.029
8/2/2018,s7,b,0.03
8/2/2018,s7,c,0.025
8/2/2018,s8,a,0.01
8/2/2018,s8,b,0.012
8/2/2018,s8,c,0.011
8/2/2018,s9,a,0.007
8/2/2018,s9,b,0.007
8/2/2018,s9,c,0.007
8/2/2018,s10,a,0.007
8/2/2018,s10,b,0.007
8/2/2018,s10,c,0.007
8/2/2018,s11,a,0.008
8/2/2018,s11,b,0.008
8/2/2018,s11,c,0.008
8/2/2018,s12,a,0.012
8/2/2018,s12,b,0.013
8/2/2018,s12,c,0.014
8/2/2018,s13,a,0.008
8/2/2018,s13,b,0.007
8/2/2018,s13,c,0.008
8/16/2018,s1,a,0.034
8/16/2018,s1,b,0.034
8/16/2018,s1,c,0.034
8/16/2018,s2,a,0.024
8/16/2018,s2,b,0.023
8/16/2018,s2,c,0.02
8/16/2018,s3,a,0.015
8/16/2018,s3,b,0.016
8/16/2018,s3,c,0.015
8/16/2018,s4,a,0.024
8/16/2018,s4,b,0.023
8/16/2018,s4,c,0.026
8/16/2018,s5,a,0.035
8/16/2018,s5,b,0.035
8/16/2018,s5,c,0.036
8/16/2018,s6,a,0.05
8/16/2018,s6,b,0.047
8/16/2018,s6,c,0.042
8/16/2018,s7,a,0.012
8/16/2018,s7,b,0.013
8/16/2018,s7,c,0.014
8/16/2018,s8,a,0.007
8/16/2018,s8,b,0.007
8/16/2018,s8,c,0.007
8/16/2018,s9,a,0.006
8/16/2018,s9,b,0.006
8/16/2018,s9,c,0.006
8/16/2018,s10,a,0.007
8/16/2018,s10,b,0.006
8/16/2018,s10,c,0.006
8/16/2018,s11,a,0.007
8/16/2018,s11,b,0.007
8/16/2018,s11,c,0.007
8/16/2018,s12,a,0.017
8/16/2018,s12,b,0.017
8/16/2018,s12,c,0.016
8/16/2018,s13,a,0.009
8/16/2018,s13,b,0.007
8/16/2018,s13,c,0.008
8/31/2018,s1,a,0.038
8/31/2018,s1,b,0.036
8/31/2018,s1,c,0.03
8/31/2018,s2,a,0.024
8/31/2018,s2,b,0.025
8/31/2018,s2,c,0.028
8/31/2018,s3,a,0.052
8/31/2018,s3,b,0.049
8/31/2018,s3,c,0.047
8/31/2018,s4,a,0.041
8/31/2018,s4,b,0.032
8/31/2018,s4,c,0.043
8/31/2018,s5,a,0.053
8/31/2018,s5,b,0.052
8/31/2018,s5,c,0.047
8/31/2018,s6,a,0.077
8/31/2018,s6,b,0.106
8/31/2018,s6,c,0.111
8/31/2018,s7,a,0.11
8/31/2018,s7,b,0.055
8/31/2018,s7,c,0.103
8/31/2018,s8,a,0.071
8/31/2018,s8,b,0.07
8/31/2018,s8,c,0.071
8/31/2018,s9,a,0.01
8/31/2018,s9,b,0.009
8/31/2018,s9,c,0.011
8/31/2018,s10,a,0.008
8/31/2018,s10,b,0.008
8/31/2018,s10,c,0.007
8/31/2018,s11,a,0.007
8/31/2018,s11,b,0.007
8/31/2018,s11,c,0.007
8/31/2018,s12,a,0.012
8/31/2018,s12,b,0.014
8/31/2018,s12,c,0.012
8/31/2018,s13,a,0.007
8/31/2018,s13,b,0.006
8/31/2018,s13,c,0.011
9/14/2018,s1,a,0.047
9/14/2018,s1,b,0.049
9/14/2018,s1,c,0.046
9/14/2018,s2,a,0.031
9/14/2018,s2,b,0.031
9/14/2018,s2,c,0.032
9/14/2018,s3,a,0.073
9/14/2018,s3,b,0.08
9/14/2018,s3,c,0.077
9/14/2018,s4,a,0.027
9/14/2018,s4,b,0.028
9/14/2018,s4,c,0.026
9/14/2018,s5,a,0.062
9/14/2018,s5,b,0.046
9/14/2018,s5,c,0.057
9/14/2018,s6,a,0.132
9/14/2018,s6,b,0.148
9/14/2018,s6,c,0.143
9/14/2018,s7,a,0.135
9/14/2018,s7,b,0.147
9/14/2018,s7,c,0.147
9/14/2018,s8,a,0.137
9/14/2018,s8,b,0.114
9/14/2018,s8,c,0.113
9/14/2018,s9,a,0.005
9/14/2018,s9,b,0.005
9/14/2018,s9,c,0.004
9/14/2018,s10,a,0.002
9/14/2018,s10,b,0.002
9/14/2018,s10,c,0.004
9/14/2018,s11,a,0.003
9/14/2018,s11,b,0.004
9/14/2018,s11,c,0.003
9/14/2018,s12,a,0.004
9/14/2018,s12,b,0.004
9/14/2018,s12,c,0.004
9/14/2018,s13,a,0.002
9/14/2018,s13,b,0.002
9/14/2018,s13,c,0.002
9/27/2018,s1,a,0.061
9/27/2018,s1,b,0.069
9/27/2018,s1,c,0.063
